GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Barometer (on Android device)(mb),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Mass Air Flow Rate(g/s),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip Time(Since journey start)(s)
Tue Apr 12 20:59:30 GMT+02:00 2022,12-Apr-2022 20:59:32.551,5.173745437069235,52.36974879403777,0.0,4.0,46.43555095183549,108.86771392822266,9.82610416,-0.25379312,-0.39505535,0.040995,0.04,0.01,0.03,16.47058868,8.23529434,-,14.69999981,-,-,1011.58032227,355.64001465,-,97,-,0,0,0,-,0.29808748,0.00496812,17.64705849,0,46.8341713,8.59375,-,4,46.43555069,108.86771393,52.36974716,5.17374563,-,35,0,10.08437634,-,76.10269165,4.59740019,19.29990959,9.4117651,0,0,17.64705849,-,0
Tue Apr 12 20:59:30 GMT+02:00 2022,12-Apr-2022 20:59:32.700,5.173745437069235,52.36974879403777,0.0,4.0,46.43555095183549,108.86771392822266,9.83568096,-0.24900457,-0.37111259,0.04186273,0.04,0.01,0.03,16.47058868,8.23529434,-,14.69999981,-,-,1011.58032227,355.64001465,-,97,-,0,0,0,-,0.29808748,0.00496812,17.64705849,0,46.8341713,8.59375,-,4,46.43555069,108.86771393,52.36974716,5.17374563,-,35,0,10.08437634,-,76.10269165,4.59740019,19.29990959,9.4117651,0,0,17.64705849,-,0
Tue Apr 12 20:59:30 GMT+02:00 2022,12-Apr-2022 20:59:32.751,5.173745437069235,52.36974879403777,0.0,4.0,46.43555095183549,108.86771392822266,9.82610416,-0.24900457,-0.41420954,0.04106295,0.04,0.01,0.02,16.47058868,8.23529434,-,14.69999981,-,-,1011.58032227,355.64001465,-,97,-,0,0,0,-,0.29808748,0.00496812,17.64705849,0,46.8341713,8.59375,-,4,46.43555069,108.86771393,52.36974716,5.17374563,-,35,0,10.08437634,-,76.10269165,4.59740019,19.29990959,9.4117651,0,0,17.64705849,-,0
Tue Apr 12 20:59:31 GMT+02:00 2022,12-Apr-2022 20:59:32.849,5.173745437069235,52.36974879403777,0.0,4.0,46.42293590812841,108.86771392822266,9.87638378,-0.22745611,-0.38787252,0.04602027,0.04,0.01,0.02,16.47058868,8.23529434,-,14.69999981,-,-,1011.58032227,355.64001465,-,97,-,0,0,0,-,0.29808748,0.00496812,17.64705849,0,46.8341713,8.59375,-,4,46.42293549,108.86771393,52.36974716,5.17374563,-,35,0,10.08437634,-,76.10269165,4.59740019,19.29990959,9.4117651,0,0,17.64705849,-,0
Tue Apr 12 20:59:31 GMT+02:00 2022,12-Apr-2022 20:59:32.960,5.173745437069235,52.36974879403777,0.0,4.0,46.42293590812841,108.86771392822266,9.85004616,-0.22745611,-0.35195839,0.04320097,0.04,0.01,0.03,16.47058868,8.23529434,-,14.69999981,-,-,1011.58032227,355.64001465,-,97,-,0,0,0,-,0.29808748,0.00496812,17.64705849,0,46.8341713,8.59375,-,4,46.42293549,108.86771393,52.36974716,5.17374563,-,35,0,10.08437634,-,76.10269165,4.59740019,19.29990959,9.4117651,0,0,17.64705849,-,0
Tue Apr 12 20:59:31 GMT+02:00 2022,12-Apr-2022 20:59:33.057,5.173745437069235,52.36974879403777,0.0,4.0,46.42293590812841,108.86771392822266,9.83807564,-0.27294734,-0.25858167,0.04180455,0.04,0,0.03,16.47058868,8.23529434,-,14.69999981,-,-,1011.58032227,355.64001465,-,97,-,0,0,0,-,0.29808748,0.00496812,17.64705849,0,46.8341713,8.59375,0,4,46.42293549,108.86771393,52.36974716,5.17374563,-,35,0,10.08437634,-,76.10269165,4.59740019,19.29990959,9.4117651,0,0,17.64705849,-,0
Tue Apr 12 20:59:31 GMT+02:00 2022,12-Apr-2022 20:59:33.154,5.173745437069235,52.36974879403777,0.0,4.0,46.42293590812841,108.86771392822266,9.73751545,-0.22506183,-0.60575151,0.033005,0.05,0.02,0.01,16.47058868,8.23529434,-,14.69999981,-,-,1011.59301758,355.64001465,-,97,-,0,0,0,-,0.29808748,0.00496812,17.64705849,0,46.8341713,8.59375,0,4,46.42293549,108.86771393,52.36974716,5.17374563,-,36,0,10.08437634,-,76.10269165,4.59740019,19.29990959,9.4117651,0,0,11.76470566,-,0
Tue Apr 12 20:59:31 GMT+02:00 2022,12-Apr-2022 20:59:33.253,5.173745437069235,52.36974879403777,0.0,4.0,46.42293590812841,108.86771392822266,10.26425648,-0.41420954,-0.4764607,0.08649325,0.04,0.02,0.03,16.47058868,8.23529434,-,14.69999981,-,-,1011.59570312,355.64001465,-,97,-,0,0,0,-,0.29808748,0.00496812,17.64705849,0,46.8341713,2.34375,0,4,46.42293549,108.86771393,52.36974716,5.17374563,-,36,0,10.08437634,-,76.10269165,4.59740019,19.29990959,9.4117651,0,0,11.76470566,-,0
Tue Apr 12 20:59:31 GMT+02:00 2022,12-Apr-2022 20:59:33.350,5.173745437069235,52.36974879403777,0.0,4.0,46.42293590812841,108.86771392822266,9.71117878,-0.23463893,-0.72546524,0.03118348,-0.04,0,0.05,16.47058868,8.23529434,-,14.69999981,-,-,1011.59960938,355.64001465,-,97,-,0,0,0,-,0.29808748,0.00496812,17.64705849,0,46.8341713,2.34375,0,4,46.42293549,108.86771393,52.36974716,5.17374563,-,36,0,10.08437634,-,76.10269165,4.59740019,19.29990959,9.4117651,0,0,11.76470566,-,0
Tue Apr 12 20:59:31 GMT+02:00 2022,12-Apr-2022 20:59:33.452,5.173745437069235,52.36974879403777,0.0,4.0,46.42293590812841,108.86771392822266,9.87159538,-0.08858817,-0.52913475,0.04597437,0.04,0.02,0.01,16.47058868,8.23529434,-,14.69999981,-,-,1011.60009766,355.64001465,-,97,-,0,0,0,-,0.29808748,0.00496812,17.64705849,0,46.8341713,2.34375,0,4,46.42293549,108.86771393,52.36974716,5.17374563,-,36,0,10.08437634,-,76.10269165,4.59740019,19.29990959,9.4117651,0,0,11.76470566,-,0
