GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel used (trip)(l),GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),O2 Bank 1 Sensor 1 Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Sun Mar 20 06:26:17 GMT+01:00 2022,20-Mar-2022 06:29:18.822,5.207295149279267,52.41627217664145,0.0,2.0,51.56903551907448,58.98931121826172,9.98651981,0.35195839,0.08858817,0.00942326,0,-0.01,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,564.79998779,1,379.42730713,-,0,0,91,0,0,0,-,1.63926375,27.32106209,79.21568298,0,7.8125,0,-,-,0,-,8,0,9.49333191,-,-49918684.86123251,84.39266968,0,15.60732841,0,17.64705849,-30,0,0,0,-0.14503774,12.27700043,12.39999962
Sun Mar 20 06:26:17 GMT+01:00 2022,20-Mar-2022 06:29:18.920,5.207295149279267,52.41627217664145,0.0,2.0,51.56903551907448,58.98931121826172,9.97454929,0.07422252,-0.18914771,0.00774193,-0.02,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,564.79998779,1,379.42730713,-,0,0,91,0,0,0,-,1.63926375,27.32106209,79.21568298,0,7.8125,0,-,-,0,-,8,0,9.49333191,-,-49918684.86123251,84.39266968,0,15.60732841,0,17.64705849,-30,0,0,0,-0.14503774,12.27700043,12.39999962
Sun Mar 20 06:26:17 GMT+01:00 2022,20-Mar-2022 06:29:19.020,5.207295149279267,52.41627217664145,0.0,2.0,51.56903551907448,58.98931121826172,9.87159538,0.14605077,-0.16281068,-0.0027169,0,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,564.79998779,1,379.42730713,-,0,0,91,0,0,0,-,1.63926375,27.32106209,79.21568298,0,7.8125,0,-,-,0,-,8,0,9.49333191,-,-49918684.86123251,84.39266968,0,15.60732841,0,17.64705849,-30,0,0,0,-0.14503774,12.27700043,12.39999962
Sun Mar 20 06:26:17 GMT+01:00 2022,20-Mar-2022 06:29:19.120,5.207295149279267,52.41627217664145,0.0,2.0,51.56903551907448,58.98931121826172,9.77103519,0.10295381,-0.23463893,-0.01287222,0,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,564.79998779,1,379.42730713,-,0,0,91,0,0,0,-,1.63926375,27.32106209,79.21568298,0,7.8125,0,-,-,0,-,8,0,9.49333191,-,-49918684.86123251,84.39266968,0,15.60732841,0,17.64705849,-30,0,0,0,-0.14503774,12.27700043,12.39999962
Sun Mar 20 06:26:17 GMT+01:00 2022,20-Mar-2022 06:29:19.226,5.207295149279267,52.41627217664145,0.0,2.0,51.56903551907448,58.98931121826172,9.96018314,0.10774237,-0.34716985,0.00674248,-0.02,0,0.05,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,564.79998779,1,379.42730713,-,0,0,91,0,0,0,-,1.63926375,27.32106209,79.21568298,0,7.8125,0,-,-,0,-,8,0,9.49333191,-,-49918684.86123251,84.39266968,0,15.60732841,0,17.64705849,-30,0,0,0,-0.14503774,12.27700043,12.39999962
Sun Mar 20 06:26:17 GMT+01:00 2022,20-Mar-2022 06:29:19.324,5.207295149279267,52.41627217664145,0.0,2.0,51.56903551907448,58.98931121826172,9.98412609,0.04549122,-0.31125572,0.00901222,0,0.01,0.06,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,564.79998779,1,379.42730713,-,0,0,91,0,0,0,-,1.63926375,27.32106209,79.21568298,0,7.8125,0,-,-,0,-,8,0,9.49333191,-,-49918684.86123251,84.39266968,0,15.60732841,0,17.64705849,-30,0,0,0,-0.14503774,12.27700043,12.39999962
Sun Mar 20 06:26:17 GMT+01:00 2022,20-Mar-2022 06:29:19.424,5.207295149279267,52.41627217664145,0.0,2.0,51.56903551907448,58.98931121826172,9.74469852,0.28970724,-0.08379962,-0.01542372,-0.01,0.01,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,564.79998779,1,379.42730713,-,0,0,91,0,0,0,-,1.63926375,27.32106209,79.21568298,0,7.8125,0,-,-,0,-,8,0,9.49333191,-,-49918684.86123251,84.39266968,0,15.60732841,0,17.64705849,-30,0,0,0,-0.14503774,12.27700043,12.39999962
Sun Mar 20 06:26:17 GMT+01:00 2022,20-Mar-2022 06:29:19.525,5.207295149279267,52.41627217664145,0.0,2.0,51.56903551907448,58.98931121826172,9.95300007,-0.08379962,-0.50758624,0.00668871,-0.07,0,0,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,564.79998779,1,379.42730713,-,0,0,91,0,0,0,-,1.63926375,27.32106209,77.64705658,0,7.8125,0,-,-,0,-,8,0,9.49333191,-,-49918684.86123251,84.39266968,0,15.60732841,0,17.64705849,-30,0,0,0,-0.14503774,12.27700043,12.39999962
Sun Mar 20 06:26:17 GMT+01:00 2022,20-Mar-2022 06:29:19.624,5.207295149279267,52.41627217664145,0.0,2.0,51.56903551907448,58.98931121826172,9.28978634,0.21309046,-0.57223165,-0.06022811,0,0.03,0,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,564.79998779,1,379.42730713,-,0,0,91,0,0,0,-,1.63926375,27.32106209,77.64705658,0,7.8125,0,-,-,0,-,8,0,9.49333191,-,-49918684.86123251,84.39266968,0,15.60732841,0,17.64705849,-30,0,0,0,-6.81677389,12.27700043,12.39999962
Sun Mar 20 06:26:18 GMT+01:00 2022,20-Mar-2022 06:29:19.720,5.207295149279267,52.41627217664145,0.0,2.0,51.570625483179576,58.98931121826172,9.55076218,0.2849187,-0.49800915,-0.03391337,-0.02,0,-0.01,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,564.79998779,1,379.42730713,-,0,0,91,0,0,0,-,1.63926375,27.32106209,77.64705658,0,7.8125,0,-,-,0,-,8,0,9.49333191,-,-49918684.86123251,84.39266968,0,15.60732841,0,17.64705849,-30,0,0,0,-6.81677389,12.27700043,12.39999962
