GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Barometer (on Android device)(mb),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Mass Air Flow Rate(g/s),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip Time(Since journey start)(s)
Fri Apr 15 19:41:48 GMT+02:00 2022,15-Apr-2022 19:41:51.087,5.207260685440014,52.416292984898156,0.0,3.0,42.71878723677674,59.587642669677734,9.96975994,0.39026681,-0.31365001,0.01921767,0,-0.06,0.04,16.47058868,8.23529434,-,14.69999981,16.57236099,-,1031.19311523,336.78741455,-,93,-,0,0,0,-,0.35094083,0.00584901,84.31372833,0,45.21229172,9.375,0,3,42.71878815,59.58764267,52.4162941,5.20726061,-,20,0,10.37911797,-,39.23654175,0,60.76345825,3.13725495,0,0,17.64705849,-,0
Fri Apr 15 19:41:48 GMT+02:00 2022,15-Apr-2022 19:41:51.194,5.207260685440014,52.416292984898156,0.0,3.0,42.71878723677674,59.587642669677734,9.66568756,0.10774237,-0.27055305,-0.0126121,0.04,-0.03,0.03,16.47058868,8.23529434,-,14.69999981,16.57236099,-,1031.19702148,336.78741455,-,93,-,0,59.60784149,0,-,0.35094083,0.00584901,84.31372833,0,45.21229172,9.375,0,3,42.71878815,59.58764267,52.4162941,5.20726061,-,20,0,10.37906551,-,39.23654175,0,60.76345825,3.13725495,0,0,17.64705849,-,0
Fri Apr 15 19:41:48 GMT+02:00 2022,15-Apr-2022 19:41:51.287,5.207260685440014,52.416292984898156,0.0,3.0,42.71878723677674,59.587642669677734,9.7039957,0.19154198,-0.36153549,-0.00827539,0.04,0.01,0.01,16.47058868,8.23529434,-,14.69999981,16.57236099,-,1031.1953125,336.78741455,-,93,-,0,59.60784149,604.5,-,0.35094083,0.00584901,84.31372833,0,45.21229172,9.375,0,3,42.71878815,59.58764267,52.4162941,5.20726061,-,20,0,10.37906551,-,39.23654175,0,60.76345825,3.13725495,0,0,17.64705849,-,0
Fri Apr 15 19:41:49 GMT+02:00 2022,15-Apr-2022 19:41:51.383,5.207260685440014,52.416292984898156,0.0,3.0,42.67046628088371,59.587642669677734,9.57709885,0.78771639,-0.74701375,-0.01583767,0,0,-0.04,16.47058868,8.23529434,-,14.69999981,16.57236099,-,1031.20581055,336.78741455,-,93,-,33.72549057,59.60784149,604.5,-,0.35094083,0.00584901,84.31372833,0,45.21229172,9.375,0,3,42.67046738,59.58764267,52.4162941,5.20726061,-,20,0,10.37906551,-,39.23654175,0,60.76345825,3.13725495,0,0,17.64705849,-,0
Fri Apr 15 19:41:49 GMT+02:00 2022,15-Apr-2022 19:41:51.486,5.207260685440014,52.416292984898156,0.0,3.0,42.67046628088371,59.587642669677734,9.56033897,-0.32083282,-0.96968132,-0.01825225,0.04,0.01,-0.06,16.47058868,8.23529434,-,14.69999981,16.57236099,-,1031.20458984,336.78741455,-,93,-,33.72549057,59.60784149,604.5,-,0.35094083,0.00584901,84.31372833,0,45.21229172,-3.125,0,3,42.67046738,59.58764267,52.4162941,5.20726061,-,20,0,10.37906551,-,39.23654175,0,60.76345825,3.13725495,0,0,12.54901981,-,0
Fri Apr 15 19:41:49 GMT+02:00 2022,15-Apr-2022 19:41:51.584,5.207260685440014,52.416292984898156,0.0,3.0,42.67046628088371,59.587642669677734,9.68244743,0.02394275,-0.45251793,-0.01027042,-0.01,-0.02,0,16.47058868,8.23529434,-,14.69999981,19.2131424,-,1031.19750977,336.78741455,-,93,-,33.72549057,59.60784149,604.5,-,0.35094083,0.00584901,84.31372833,0,45.21229172,-3.125,0,3,42.67046738,59.58764267,52.4162941,5.20726061,-,20,0,10.37906551,-,39.23654175,0,60.76345825,4.70588255,0,0,12.54901981,-,0
Fri Apr 15 19:41:49 GMT+02:00 2022,15-Apr-2022 19:41:51.684,5.207260685440014,52.416292984898156,0.0,3.0,42.67046628088371,59.587642669677734,9.94581795,0.23224466,-0.6847626,0.0181722,0,-0.02,-0.01,16.47058868,8.23529434,-,14.69999981,19.2131424,-,1031.19775391,336.78741455,-,93,-,33.72549057,59.60784149,604.5,-,0.35094083,0.00584901,84.31372833,0,45.21229172,-3.125,0,3,42.67046738,59.58764267,52.4162941,5.20726061,-,20,0,10.37906551,-,39.23654175,0,60.76345825,4.70588255,0,0,12.54901981,-,0
Fri Apr 15 19:41:49 GMT+02:00 2022,15-Apr-2022 19:41:51.783,5.207260685440014,52.416292984898156,0.0,3.0,42.67046628088371,59.587642669677734,9.65850449,0.24421602,-0.83799618,-0.00977916,-0.02,0,-0.03,16.47058868,8.23529434,-,14.69999981,19.2131424,-,1031.19555664,336.78741455,-,93,-,33.72549057,30.58823586,604.5,-,0.35094083,0.00584901,79.21568298,0,45.21229172,-3.125,0,3,42.67046738,59.58764267,52.4162941,5.20726061,-,20,0,10.37906551,-,39.23654175,0,60.76345825,4.70588255,0,0,12.54901981,-,0
Fri Apr 15 19:41:49 GMT+02:00 2022,15-Apr-2022 19:41:51.885,5.207260685440014,52.416292984898156,0.0,3.0,42.67046628088371,59.587642669677734,9.60104179,0.03351985,-0.90982443,-0.01525849,0.01,0,-0.04,16.47058868,8.23529434,-,14.69999981,19.2131424,-,1031.19750977,336.78741455,-,93,-,33.72549057,30.58823586,604.5,0.00006694,0.35094083,0.00584901,79.21568298,0,45.21221542,-3.125,0,3,42.67046738,59.58764267,52.4162941,5.20726061,-,20,0,10.37906551,-,39.23654175,0,60.76345825,4.70588255,0,0,12.54901981,-,0
Fri Apr 15 19:41:49 GMT+02:00 2022,15-Apr-2022 19:41:51.986,5.207260685440014,52.416292984898156,0.0,3.0,42.67046628088371,59.587642669677734,9.68723583,-0.07182825,-0.6440599,-0.00865549,0,-0.03,-0.02,16.47058868,8.23529434,-,14.69999981,19.2131424,-,1031.19604492,336.78741455,-,93,-,33.72549057,30.58823586,909.75,0.00006694,0.35094083,0.00584901,79.21568298,0,45.21221542,-3.125,0,3,42.67046738,59.58764267,52.4162941,5.20726061,-,20,0,10.37906551,-,39.23654175,0,60.76345825,4.70588255,0,0,12.54901981,-,0
