GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel used (trip)(l),GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),O2 Bank 1 Sensor 1 Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Sun Mar 20 08:06:27 GMT+01:00 2022,20-Mar-2022 08:09:30.260,5.2072984892640655,52.41620068850989,0.0,4.0,43.31402253307825,250.38304138183594,9.79018974,0.07422252,-0.34956414,0.03989446,0.04,-0.02,0.05,16.47058868,8.23529434,-,-,14.69999981,16.48179436,-,3,14.93888701,597.5,1,362.89215088,-,0,0,95,0,0,0,-,1.22374773,20.39579582,70.58823395,0,10.15625,0,-,-,0,-,29,0,9.39702797,-,121049649.99750938,87.11200714,0,12.88799667,0,17.64705849,-30,0,0,0,-0.14503774,12.33199978,12.39999962
Sun Mar 20 08:06:27 GMT+01:00 2022,20-Mar-2022 08:09:30.362,5.2072984892640655,52.41620068850989,0.0,4.0,43.31402253307825,250.38304138183594,9.82131481,0.12689656,-0.41899809,0.04339683,0.05,-0.01,0.04,16.47058868,8.23529434,-,-,14.69999981,16.48179436,-,3,14.93888701,597.5,1,362.89215088,-,0,0,95,0,0,0,-,1.22374773,20.39579582,70.58823395,0,10.15625,0,-,-,0,-,29,0,9.39702797,-,121049649.99750938,87.11200714,0,12.88799667,0,17.64705849,-30,0,0,0,-0.14503774,12.33199978,12.39999962
Sun Mar 20 08:06:27 GMT+01:00 2022,20-Mar-2022 08:09:30.463,5.2072984892640655,52.41620068850989,0.0,4.0,43.31402253307825,250.38304138183594,9.91229725,0.11731946,-0.45012367,0.05278909,0.05,-0.01,0.03,16.47058868,8.23529434,-,-,14.69999981,16.48179436,-,3,14.93888701,597.5,1,362.89215088,-,0,0,95,0,0,0,-,1.22374773,20.39579582,70.58823395,0,10.15625,0,-,-,0,-,29,0,9.39702797,-,121049649.99750938,87.11200714,0,12.88799667,0,17.64705849,-30,0,0,0,-0.14503774,12.33199978,12.39999962
Sun Mar 20 08:06:27 GMT+01:00 2022,20-Mar-2022 08:09:30.560,5.2072984892640655,52.41620068850989,0.0,4.0,43.31402253307825,250.38304138183594,9.7470932,0.05027977,-0.43815228,0.03585327,0.04,-0.01,0.05,16.47058868,8.23529434,-,-,14.69999981,16.45265198,-,3,14.93888701,597.5,1,362.89215088,-,0,0,95,0,0,0,-,1.22374773,20.39579582,70.58823395,0,10.15625,0,-,-,0,-,29,0,9.39702797,-,121049649.99750938,87.11200714,0,12.88799667,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.39999962
Sun Mar 20 08:06:28 GMT+01:00 2022,20-Mar-2022 08:09:30.662,5.2072984892640655,52.41620068850989,0.0,4.0,43.313238192838845,250.38304138183594,9.84286404,0.17478207,-0.28013015,0.04516363,0.04,-0.02,0.04,16.47058868,8.23529434,-,-,14.69999981,16.44458199,-,3,14.93888701,597.5,1,362.89215088,-,0,0,95,0,0,0,-,1.22374773,20.39579582,70.58823395,0,10.15625,0,-,-,0,-,29,0,9.39702797,-,121049649.99750938,87.11200714,0,12.88799667,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.39999962
Sun Mar 20 08:06:28 GMT+01:00 2022,20-Mar-2022 08:09:30.763,5.2072984892640655,52.41620068850989,0.0,4.0,43.313238192838845,250.38304138183594,9.79258442,0.12210801,-0.35435268,0.04020482,0.04,-0.02,0.04,16.47058868,8.23529434,-,-,14.69999981,16.43606186,-,3,14.93888701,597.5,1,362.89215088,-,0,0,95,0,0,0,-,1.22374773,20.39579582,70.58823395,0,10.15625,0,-,-,0,-,29,0,9.39701748,-,121049649.99750938,87.11200714,0,12.88799667,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.39999962
Sun Mar 20 08:06:28 GMT+01:00 2022,20-Mar-2022 08:09:30.865,5.2072984892640655,52.41620068850989,0.0,4.0,43.313238192838845,250.38304138183594,9.83807564,0.13647367,-0.35914123,0.04487562,0.04,-0.01,0.04,16.47058868,8.23529434,-,-,14.69999981,16.43606186,-,3,14.93888701,597.5,1,362.89215088,-,0,0,95,0,0,0,-,1.22374773,20.39579582,70.58823395,0,10.15625,0,-,-,0,-,29,0,9.39701748,-,121049649.99750938,87.11200714,0,12.88799667,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.39999962
Sun Mar 20 08:06:28 GMT+01:00 2022,20-Mar-2022 08:09:30.963,5.2072984892640655,52.41620068850989,0.0,4.0,43.313238192838845,250.38304138183594,9.80694962,0.16281068,-0.33519846,0.04165971,0.04,-0.01,0.04,16.47058868,8.23529434,-,-,14.69999981,16.43606186,-,3,14.93888701,597.5,1,362.89215088,-,0,0,95,0,0,0,-,1.22374773,20.39579582,70.58823395,0,10.15625,0,-,-,0,-,29,0,9.39701748,-,121049649.99750938,87.11200714,0,12.88799667,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.39999962
Sun Mar 20 08:06:28 GMT+01:00 2022,20-Mar-2022 08:09:31.060,5.2072984892640655,52.41620068850989,0.0,4.0,43.313238192838845,250.38304138183594,9.7087841,0.05506832,-0.44054657,0.03196585,0.04,-0.01,0.05,16.47058868,8.23529434,-,-,14.69999981,16.40826416,-,3,14.93888701,597.5,1,362.89215088,-,0,0,95,0,0,0,-,1.22374773,20.39579582,70.58823395,0,10.15625,0,-,-,0,-,29,0,9.39701748,-,121049649.99750938,87.11200714,0,12.88799667,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.39999962
Sun Mar 20 08:06:28 GMT+01:00 2022,20-Mar-2022 08:09:31.160,5.2072984892640655,52.41620068850989,0.0,4.0,43.313238192838845,250.38304138183594,9.921875,0.19633053,-0.26815879,0.05322063,0.04,-0.02,0.02,16.47058868,8.23529434,-,-,14.69999981,16.3907795,-,3,14.93888701,597.5,1,362.89215088,-,0,0,95,0,0,0,-,1.22374773,20.39579582,70.58823395,0,10.15625,0,-,-,0,-,29,0,9.39701748,-,121049649.99750938,87.11200714,0,12.88799667,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.39999962
