GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Barometer (on Android device)(mb),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Mass Air Flow Rate(g/s),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip Time(Since journey start)(s)
Sat Apr 16 07:04:44 GMT+02:00 2022,16-Apr-2022 07:04:45.603,5.207209721803413,52.416276083667405,0.0,4.0,43.48180798814788,58.198238372802734,9.78779507,-0.02394275,-0.99362403,0.05197233,0.06,0.01,-0.02,16.47058868,8.23529434,-,14.78299236,-,-,1033.9855957,323.06155396,-,75,-,19.6078434,23.52941132,865.5,-,0.42590819,0.00709847,79.21568298,1.04999995,44.41098785,0,0.78125,4,43.48180771,58.19823837,52.41627502,5.20720959,-,12,0,10.32789135,-,78.83226776,0,21.16773605,2.74509811,0,0,11.37254906,-,0
Sat Apr 16 07:04:44 GMT+02:00 2022,16-Apr-2022 07:04:45.705,5.207209721803413,52.416276083667405,0.0,4.0,43.48180798814788,58.198238372802734,9.87638378,-0.0383084,-0.73983091,0.05870014,0.06,0,0,16.47058868,8.23529434,-,14.75114155,-,-,1033.9855957,323.06155396,-,75,-,19.6078434,23.52941132,865.5,-,0.42590819,0.00709847,79.21568298,1.04999995,44.41098785,0,0.78125,4,43.48180771,58.19823837,52.41627502,5.20720959,-,12,0,10.32789135,-,78.83226776,0,21.16773605,2.74509811,0,0,11.37254906,-,0
Sat Apr 16 07:04:44 GMT+02:00 2022,16-Apr-2022 07:04:45.805,5.207209721803413,52.416276083667405,0.0,4.0,43.48180798814788,58.198238372802734,9.91469193,0.02633702,-0.82123625,0.06324154,0.05,0,-0.02,16.47058868,8.23529434,-,14.75114155,-,-,1033.98706055,323.06155396,-,75,-,19.6078434,23.52941132,865.5,-,0.42590819,0.00709847,79.21568298,1.04999995,44.41098785,0,0.78125,4,43.48180771,58.19823837,52.41627502,5.20720959,-,12,0,10.32789135,-,78.83226776,0,21.16773605,2.74509811,0,0,11.37254906,-,0
Sat Apr 16 07:04:44 GMT+02:00 2022,16-Apr-2022 07:04:45.906,5.207209721803413,52.416276083667405,0.0,4.0,43.48180798814788,58.198238372802734,9.90272045,0.08140534,-0.92179579,0.06295449,0.06,0,-0.02,16.47058868,8.23529434,-,14.75114155,-,-,1033.9765625,323.06155396,-,75,-,19.6078434,23.52941132,865.5,-,0.42590819,0.00709847,79.21568298,1.04999995,44.41098785,0,0.78125,4,43.48180771,58.19823837,52.41627502,5.20720959,-,12,0,10.32789135,-,78.83226776,0,21.16773605,2.74509811,0,0,11.37254906,-,0
Sat Apr 16 07:04:44 GMT+02:00 2022,16-Apr-2022 07:04:46.010,5.207209721803413,52.416276083667405,0.0,4.0,43.48180798814788,58.198238372802734,9.80694962,0.07661679,-1.05348086,0.05457574,0.06,0,0,16.47058868,8.23529434,-,14.75114155,-,-,1033.9765625,323.06155396,-,75,-,19.6078434,23.92156792,865.5,-,0.42590819,0.00709847,79.21568298,1.04999995,44.41098785,0,0.78125,4,43.48180771,58.19823837,52.41627502,5.20720959,-,12,0,10.32789135,-,78.83226776,0,21.16773605,2.74509811,0,0,11.37254906,-,0
Sat Apr 16 07:04:44 GMT+02:00 2022,16-Apr-2022 07:04:46.104,5.207209721803413,52.416276083667405,0.0,4.0,43.48180798814788,58.198238372802734,9.62498474,-0.05027977,-0.89545876,0.03449535,0.02,-0.03,-0.02,16.47058868,8.23529434,-,14.75114155,-,-,1033.97192383,323.06155396,-,75,-,19.6078434,23.92156792,865.5,-,0.42590819,0.00709847,79.21568298,1.04999995,44.41098785,0,0.78125,4,43.48180771,58.19823837,52.41627502,5.20720959,-,12,0,10.32789135,-,78.83226776,0,21.16773605,2.74509811,0,0,11.37254906,-,0
Sat Apr 16 07:04:44 GMT+02:00 2022,16-Apr-2022 07:04:46.204,5.207209721803413,52.416276083667405,0.0,4.0,43.48180798814788,58.198238372802734,9.53160763,-0.20111908,-0.85715038,0.02486271,0.05,0.02,-0.04,16.47058868,8.23529434,-,14.75114155,-,-,1033.97412109,323.06155396,-,75,-,19.6078434,23.92156792,865.5,-,0.42590819,0.00709847,79.21568298,1.04999995,44.41098785,0,0.78125,4,43.48180771,58.19823837,52.41627502,5.20720959,-,12,0,10.32789135,-,78.83226776,0,21.16773605,2.74509811,0,0,11.37254906,-,0
Sat Apr 16 07:04:44 GMT+02:00 2022,16-Apr-2022 07:04:46.304,5.207209721803413,52.416276083667405,0.0,4.0,43.48180798814788,58.198238372802734,9.76864147,-0.20351335,-0.7996878,0.04843539,0.04,-0.01,-0.01,16.47058868,8.23529434,-,14.75114155,-,-,1033.97412109,323.06155396,-,75,-,19.6078434,23.92156792,865.5,-,0.42590819,0.00709847,79.21568298,1.04999995,44.41098785,0,0.78125,4,43.48180771,58.19823837,52.41627502,5.20720959,-,12,0,10.32789135,-,78.83226776,0,21.16773605,2.74509811,0,0,11.37254906,-,0
Sat Apr 16 07:04:45 GMT+02:00 2022,16-Apr-2022 07:04:46.406,5.207209721803413,52.416276083667405,0.0,3.0,43.48626148359246,58.198238372802734,9.72315025,-0.01436565,-0.64645422,0.04244107,0.05,0,-0.01,16.47058868,8.23529434,-,14.75114155,-,-,1033.97558594,323.06155396,-,75,-,19.6078434,23.92156792,865.5,-,0.42590819,0.00709847,79.21568298,1.04999995,44.41098785,0,0.78125,3,43.48626328,58.19823837,52.41627502,5.20720959,-,12,0,10.32789135,-,78.83226776,0,21.16773605,2.74509811,0,0,11.37254906,-,0
Sat Apr 16 07:04:45 GMT+02:00 2022,16-Apr-2022 07:04:46.502,5.207209721803413,52.416276083667405,0.0,3.0,43.48626148359246,58.198238372802734,9.77103519,0.19154198,-1.08939505,0.05149466,0.04,0.02,-0.04,16.47058868,8.23529434,-,14.75114155,-,-,1033.97290039,323.06155396,-,75,-,19.6078434,23.92156792,865.5,-,0.42590819,0.00709847,79.21568298,1.04999995,44.41098785,0,0.78125,3,43.48626328,58.19823837,52.41627502,5.20720959,-,12,0,10.32789135,-,78.83226776,0,21.16773605,2.74509811,0,0,11.37254906,-,0
