GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel used (trip)(l),GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),O2 Bank 1 Sensor 1 Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Sun Mar 20 08:09:50 GMT+01:00 2022,20-Mar-2022 08:12:52.481,5.207439341607507,52.41621076926217,0.0,6.0,51.03875954942169,62.612979888916016,9.81652641,0.19633053,-0.35435268,0.03395176,0.03,0,0.01,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:50 GMT+01:00 2022,20-Mar-2022 08:12:52.583,5.207439341607507,52.41621076926217,0.0,6.0,51.03875954942169,62.612979888916016,9.85244083,0.20111908,-0.29928434,0.03743351,0.03,0,0.01,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:51 GMT+01:00 2022,20-Mar-2022 08:12:52.679,5.207439341607507,52.41621076926217,0.0,6.0,51.03037360754912,62.612979888916016,9.82610416,0.20111908,-0.36392978,0.03497279,0.03,0,0.01,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:51 GMT+01:00 2022,20-Mar-2022 08:12:52.782,5.207439341607507,52.41621076926217,0.0,6.0,51.03037360754912,62.612979888916016,9.82610416,0.2083019,-0.35914123,0.03497005,0.03,0,0.02,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:51 GMT+01:00 2022,20-Mar-2022 08:12:52.883,5.207439341607507,52.41621076926217,0.0,6.0,51.03037360754912,62.612979888916016,9.83807564,0.19154198,-0.37350687,0.03620911,0.03,0,0.02,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:51 GMT+01:00 2022,20-Mar-2022 08:12:52.982,5.207439341607507,52.41621076926217,0.0,6.0,51.03037360754912,62.612979888916016,9.84525776,0.19872481,-0.31125572,0.03673458,0.03,0,0.02,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:51 GMT+01:00 2022,20-Mar-2022 08:12:53.081,5.207439341607507,52.41621076926217,0.0,6.0,51.03037360754912,62.612979888916016,9.82370949,0.18435916,-0.33759275,0.03459966,0.03,0,0.01,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:51 GMT+01:00 2022,20-Mar-2022 08:12:53.180,5.207439341607507,52.41621076926217,0.0,6.0,51.03037360754912,62.612979888916016,9.83328629,0.24182175,-0.33759275,0.03570199,0.03,0,0.02,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:51 GMT+01:00 2022,20-Mar-2022 08:12:53.280,5.207439341607507,52.41621076926217,0.0,6.0,51.03037360754912,62.612979888916016,9.84525776,0.17238778,-0.36392978,0.03686798,0.03,0,0.02,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:51 GMT+01:00 2022,20-Mar-2022 08:12:53.381,5.207439341607507,52.41621076926217,0.0,6.0,51.03037360754912,62.612979888916016,9.85483551,0.23463893,-0.44294083,0.03830373,0.03,0,0.01,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:51 GMT+01:00 2022,20-Mar-2022 08:12:53.480,5.207439341607507,52.41621076926217,0.0,6.0,51.03037360754912,62.612979888916016,9.81652641,0.24182175,-0.58899158,0.03520262,0.03,0,0,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:51 GMT+01:00 2022,20-Mar-2022 08:12:53.579,5.207439341607507,52.41621076926217,0.0,6.0,51.03037360754912,62.612979888916016,9.77582359,0.13886794,-0.22745611,0.02932113,0.03,0,0,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:52 GMT+01:00 2022,20-Mar-2022 08:12:53.683,5.207439341607507,52.41621076926217,0.0,6.0,51.021677946249135,62.612979888916016,9.9362402,0.24182175,-0.22745611,0.04586852,0.04,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:52 GMT+01:00 2022,20-Mar-2022 08:12:53.785,5.207439341607507,52.41621076926217,0.0,6.0,51.021677946249135,62.612979888916016,9.77582359,0.29210153,-0.46448931,0.03051943,0.03,0,0.01,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
Sun Mar 20 08:09:52 GMT+01:00 2022,20-Mar-2022 08:12:53.884,5.207439341607507,52.41621076926217,0.0,6.0,51.021677946249135,62.612979888916016,9.78540134,0.18435916,-0.32083282,0.03064018,0.02,0,0,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,589.20001221,1,369.26815796,-,0,0,95,0,0,0,-,1.35152996,22.52549934,80.78431702,0,10.15625,0,-,-,0,-,26,0,9.38989067,-,-127062465.15468147,87.18287659,0,12.81712055,0,17.64705849,-30,0,0,0,-0.14503774,12.35900021,12.5
